Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Theoretical background","Driving Innovation in Service Organizations","","","","10.1007/978-3-8349-3839-8_2","Jessica Scheler","2013","http://link.springer.com/chapter/10.1007/978-3-8349-3839-8_2","Chapter"
"Service-Dominant Logic: Inward and Outward Views","Handbook of Service Science, Volume II","","","","10.1007/978-3-319-98512-1_30","Luigi CantonePierpaolo TestaTeresa Marrone","2019","http://link.springer.com/chapter/10.1007/978-3-319-98512-1_30","Chapter"
"From B2C to B2B to A2A: A Translation Perspective on Theory Development","Kundenintegration und Leistungslehre","","","","10.1007/978-3-658-07448-7_8","Angeline NariswariStephen L. Vargo Prof. Dr.","2015","http://link.springer.com/chapter/10.1007/978-3-658-07448-7_8","Chapter"
"Institutions and axioms: an extension and update of service-dominant logic","Journal of the Academy of Marketing Science","","44","1","10.1007/s11747-015-0456-3","Stephen L. VargoRobert F. Lusch","2016","http://link.springer.com/article/10.1007/s11747-015-0456-3","Article"
"Theoretical Underpinning","Organizational Competence for Servitization","","","","10.1007/978-3-658-20096-1_2","Tim Posselt","2018","http://link.springer.com/chapter/10.1007/978-3-658-20096-1_2","Chapter"
"Further Advancing Service Science with Service-Dominant Logic: Service Ecosystems, Institutions, and Their Implications for Innovation","Handbook of Service Science, Volume II","","","","10.1007/978-3-319-98512-1_28","Melissa Archpru AkakaKaisa Koskela-HuotariStephen L. Vargo","2019","http://link.springer.com/chapter/10.1007/978-3-319-98512-1_28","Chapter"
"Genetic Structure of Termite Colonies and Populations","Biology of Termites: a Modern Synthesis","","","","10.1007/978-90-481-3977-4_12","Edward L. VargoClaudia Husseneder","2011","http://link.springer.com/chapter/10.1007/978-90-481-3977-4_12","Chapter"
"The S-D logic phenomenon-conceptualization and systematization by reviewing the literature of a decade(2004–2013)","Journal of Service Science Research","","5","1","10.1007/s12927-013-0002-0","Natalia KryvinskaRomana OlexovaPaul DohmenChristine Strauss","2013","http://link.springer.com/article/10.1007/s12927-013-0002-0","Article"
"The service-dominant logic perspective on service innovation in service systems","Stakeholder Integration in Service Innovation","","","","10.1007/978-3-658-19463-5_3","Julia M. Jonas","2018","http://link.springer.com/chapter/10.1007/978-3-658-19463-5_3","Chapter"
"The evolution of the S-D logic approach and its impact on service science","Journal of Service Science Research","","6","1","10.1007/s12927-014-0004-6","Romana OlexovaViera Kubickova","2014","http://link.springer.com/article/10.1007/s12927-014-0004-6","Article"
"Strong mitochondrial DNA similarity but low relatedness at microsatellite loci among families within fused colonies of the termite Reticulitermes flavipes","Insectes Sociaux","","55","2","10.1007/s00040-008-0999-0","C. J. DeHeerE. L. Vargo","2008","http://link.springer.com/article/10.1007/s00040-008-0999-0","Article"
"1 + 1 does not always equal value creation: The case of YouTube","Marketing Letters","","24","3","10.1007/s11002-013-9246-1","Volker G. KuppelwieserMerlin C. SimpsonGabriel Chiummo","2013","http://link.springer.com/article/10.1007/s11002-013-9246-1","Article"
"An indirect test of inbreeding depression in the termites Reticulitermes flavipes and Reticulitermes virginicus","Behavioral Ecology and Sociobiology","","59","6","10.1007/s00265-005-0105-9","Christopher J. DeHeerEdward L. Vargo","2006","http://link.springer.com/article/10.1007/s00265-005-0105-9","Article"
"S-D logic–informed customer engagement: integrative framework, revised fundamental propositions, and application to CRM","Journal of the Academy of Marketing Science","","47","1","10.1007/s11747-016-0494-5","Linda D. HollebeekRajendra K. SrivastavaTom Chen","2019","http://link.springer.com/article/10.1007/s11747-016-0494-5","Article"
"Advancing Service Scienceservice science
               with Service-Dominant Logicservice-dominant logic","Handbook of Service Science","","","","10.1007/978-1-4419-1628-0_8","Stephen L. VargoRobert F. LuschMelissa Archpru Akaka","2010","http://link.springer.com/chapter/10.1007/978-1-4419-1628-0_8","Chapter"
"Service-dominant logic: continuing the evolution","Journal of the Academy of Marketing Science","","36","1","10.1007/s11747-007-0069-6","Stephen L. VargoRobert F. Lusch","2008","http://link.springer.com/article/10.1007/s11747-007-0069-6","Article"
"Technology as an operant resource in service (eco)systems","Information Systems and e-Business Management","","12","3","10.1007/s10257-013-0220-5","Melissa Archpru AkakaStephen L. Vargo","2014","http://link.springer.com/article/10.1007/s10257-013-0220-5","Article"
"Genetic diversity and genotypic differentiation between the sexes in swarm aggregations decrease inbreeding in the Formosan subterranean termite","Insectes Sociaux","","53","2","10.1007/s00040-005-0860-7","C. HussenederD. M. SimmsD. R. Ring","2006","http://link.springer.com/article/10.1007/s00040-005-0860-7","Article"
