"BibliographyType","ISBN","Identifier","Author","Title","Journal","Volume","Number","Month","Pages","Year","Address","Note","URL","Booktitle","Chapter","Edition","Series","Editor","Publisher","ReportType","Howpublished","Institution","Organizations","School","Annote","Custom1","Custom2","Custom3","Custom4","Custom5","DOI"
"6","978-3-030-05532-5","10.1007/978-3-030-05532-5_6","Bermeo Conto, Jorge; Z{\'{u}}{\~{n}}iga-Prieto, Miguel; Solano-Quinde, Lizandro","A Systematic Mapping Study of Specification Languages in Cloud Services Development","","","","","72--88","2019","Cham","","","Technology Trends","","","","Botto-Tobar, Miguel; Pizarro, Guillermo; Z{\'{u}}{\~{n}}iga-Prieto, Miguel; D'Armas, Mayra; Z{\'{u}}{\~{n}}iga S{\'{a}}nchez, Miguel","Springer International Publishing","","","","","","","Specification languages offer abstractions and notations that facilitate the systematic and analytical reasoning about important aspects in a specific domain problematic. In a software engineering process domain, the usage of specification languages improve the quality and delivery time of the artefacts generated during the execution of the process activities. Cloud applications, or cloud services, are service-oriented applications whose consumption is constantly growing; however, their development require support for new roles and activities. In this work we are interested in knowing how specification languages are being used by researchers and practitioners to support the development of cloud services. This work presents a systematic mapping that provides guidance to determine the current state and to characterize the specification languages that support the service life cycle activities in a cloud services development domain.","","","","","https://doi.org/10.1007/978-3-030- 05532-5_6"
"6","978-3-030-30577-2","10.1007/978-3-030-30577-2_68","Odun-Ayo, Isaac; Geteloma, Victor; Misra, Sanjay; Ahuja, Ravin; Damasevicius, Robertas","Systematic Mapping Study of Utility-Driven Platforms for Clouds","","","","","762--774","2020","Cham","","","Proceedings of ICETIT 2019","","","","Singh, Pradeep Kumar; Panigrahi, Bijaya Ketan; Suryadevara, Nagender Kumar; Sharma, Sudhir Kumar; Singh, Amit Prakash","Springer International Publishing","","","","","","","Cloud computing is a dynamic paradigm that applies utility driven platforms at all layers to provide on-demand elastic services to the users. Utility driven platforms on the cloud makes the services easy to use and access by customers. There are several utility platforms available and many more are being developed. This makes utility driven platforms on the cloud an interesting area to research on. However, deciding on a specific research area that relates to utility driven platforms on the cloud could be a cumbersome process for a researcher. A systematic mapping study allows an aggregation of publication in an area of interest, which provides a summary of the extent of work done in that field. The specific objective is to conduct a systematic mapping study of utility driven platforms for clouds. The study in this paper were carried out using three categories or facets; the topic, research, and contribution facets. The results obtained indicated that there were more publications in terms of scheduling and algorithms in the area of metric with 0.96{\%}, more articles published on designs and architecture in terms of tool with 4.81{\%} each, more papers published on design in the area of model with 18.27{\%}, more paper on scheduling in the area of method with 6.73{\%}, and more papers on allocations in terms of process with 6.73{\%}. In addition, there were more articles published on design in the area of evaluation research with 9.24{\%}, more articles published on algorithms in terms of validation research with 6.72{\%}, more publications on design in terms of solution research with 11.76{\%}, more articles published on design in relation to philosophical papers with 2.52{\%}, more articles published on design in terms of experience with 3.36{\%} and more publications on scheduling in terms of opinion with 1.68{\%}. In this study, the clearly identified gaps in the field of utility driven platforms on the cloud should invigorate enthusiasm for further studies by researchers and industry professionals. This investigation plainly recognized holes in the field of utility driven stages on the cloud, which ought to invigorate enthusiasm for further examinations by scientists and industry professionals.","","","","","10.1007/978-3-030-30577-2_68"
"6","978-3-319-21410-8","10.1007/978-3-319-21410-8_55","Ibrahim, Mohamud Sheikh; Salleh, Norsaremah; Misra, Sanjay","Empirical Studies of Cloud Computing in Education: A Systematic Literature Review","","","","","725--737","2015","Cham","","","Computational Science and Its Applications -- ICCSA 2015","","","","Gervasi, Osvaldo; Murgante, Beniamino; Misra, Sanjay; Gavrilova, Marina L.; Rocha, Ana Maria Alves Coutinho; Torre, Carmelo; Taniar, David; Apduhan, Bernady O.","Springer International Publishing","","","","","","","The purpose of this paper is to present the evidence about adoption of cloud computing in the education system in universities or higher education institutions. We performed a systematic literature review (SLR) of empirical studies that investigated the current level of adoption of cloud computing in the education systems and motivations for using cloud computing in the institution. Seven papers were included in our synthesis of evidence. It has been found that several universities are interested in using cloud computing in their education systems, and they have utilized different types of cloud computing service models (IaaS, PaaS, SaaS). The results of this SLR show that a clear gap exists in this research field: a lack of empirical studies focusing on utilizing cloud computing within educational institutions.","","","","","10.1007/978-3-319-21410-8_55"
"6","978-3-319-62407-5","10.1007/978-3-319-62407-5_14","Vural, Hulya; Koyuncu, Murat; Guney, Sinem","A Systematic Literature Review on Microservices","","","","","203--217","2017","Cham","","","Computational Science and Its Applications -- ICCSA 2017","","","","Gervasi, Osvaldo; Murgante, Beniamino; Misra, Sanjay; Borruso, Giuseppe; Torre, Carmelo M.; Rocha, Ana Maria A. C.; Taniar, David; Apduhan, Bernady O.; Stankova, Elena; Cuzzocrea, Alfredo","Springer International Publishing","","","","","","","The cloud is an emerging paradigm which leads the way for different approaches and standards. The architectural styles are evolving based on the requirements of the cloud as well. In recent years microservices is seen as the architecture style for scalable, fast evolving cloud applications. As part of this paper, a systematic mapping study was carried out around microservices. It is aiming to find out the current trends around microservices, the motivation behind microservices research, emerging standards and the possible research gaps. The obtained results can help researchers and practitioner in software engineering domain who want to be aware of new trends about SOA and cloud computing.","","","","","10.1007/978-3-319-62407-5_14"
"6","978-3-319-62407-5","10.1007/978-3-319-62407-5_24","Wanderley, Fernando; Souza, Eric; Goul{\~{a}}o, Miguel; Araujo, Joao; Cysneiros, Gilberto; Misra, Ananya","Requirements Engineering for Cloud Systems: A Mapping Study Design","","","","","335--349","2017","Cham","","","Computational Science and Its Applications -- ICCSA 2017","","","","Gervasi, Osvaldo; Murgante, Beniamino; Misra, Sanjay; Borruso, Giuseppe; Torre, Carmelo M.; Rocha, Ana Maria A. C.; Taniar, David; Apduhan, Bernady O.; Stankova, Elena; Cuzzocrea, Alfredo","Springer International Publishing","","","","","","","Cloud Computing gets increasingly established in industrial practice as an option for modelling cost-efficient and demand-oriented information systems. Despite the increasing acceptance of cloud computing within the industry, many important questions remain unanswered. Issues related to the best software architectures decisions for cloud-based systems are faced with the question of appropriate techniques applying at early phase like requirements engineering. The goal of this paper defines a design of a mapping study to verify and identify the existence of relevant research gaps, which refers mainly to requirements models, tools or methods for cloud systems (SaaS). The conclusion of this mapping study design reinforces and actively encourages the necessity of the complete execution (and replication) of a systematic mapping study regarding the synergy of requirements engineering (e.g.: with model-driven issues) applied for a cloud computing.","","","","","10.1007/978-3-319-62407-5_24"
"6","978-3-319-67283-0","10.1007/978-3-319-67283-0_1","Botto-Tobar, Miguel; Ramirez-Anormaliza, Richard; Cevallos-Torres, Lorenzo J.; Cevallos-Ayon, Edwin","Migrating SOA Applications to Cloud: A Systematic Mapping Study","","","","","3--16","2017","Cham","","","Technologies and Innovation","","","","Valencia-Garc{\'{i}}a, Rafael; Lagos-Ortiz, Katty; Alcaraz-M{\'{a}}rmol, Gema; Del Cioppo, Javier; Vera-Lucio, N{\'{e}}stor; Bucaram-Leverone, Martha","Springer International Publishing","","","","","","","Cloud Computing has emerged as an economical option to use IT resources when needed without considerations about where they are allocated or how they are delivered. Cloud Computing expands the SOA capabilities by adding scalability, elasticity and other relevant quality attributes. In this context, many companies have started to migrate their SOA applications to Cloud environments without proper support. We conducted a systematic mapping study to gather the current knowledge about existing strategies for migrating SOA applications to cloud computing. 105 papers were identified and the results show that most of the approaches follow a semi-automated (conventional) strategy for migrating to the Cloud (93{\%}) and that most of the reported works follow a hybrid deployment model (60{\%}). We additionally identify several research gaps such as the need for more technology-independent solutions, a common definition for concepts and resources, tool support, and validation.","","","","","10.1007/978-3-319-67283-0_1"
"6","978-3-319-77703-0","10.1007/978-3-319-77703-0_85","Ferrer, Bastian; Quelopana, Aldo","Classifying Cloud Computing Challenges: A Taxonomy Proposal","","","","","877--886","2018","Cham","","","Trends and Advances in Information Systems and Technologies","","","","Rocha, {\'{A}}lvaro; Adeli, Hojjat; Reis, Lu{\'{i}}s Paulo; Costanzo, Sandra","Springer International Publishing","","","","","","","The rapid growth of Cloud Computing technology has made possible to conduct numerous studies and make investments in it to support the business models of organizations. However, this inclusion has been accompanied by several challenges which, although they have been actually studied, there is not still a consensus about how they can be classified inside the Information Systems field. This paper proposes a taxonomy to contribute to the solution of this problem, so that professionals and researchers can count on a common basis to focus on challenges with greater priority, eliminating ambiguities in their solution proposals.","","","","","10.1007/978-3-319-77703-0_85"
"7","","10.1145/2501654.2501669","Shaul, Levi; Tauber, Doron","Critical Success Factors in Enterprise Resource Planning Systems: Review of the Last Decade","ACM Comput. Surv.","45","4","","","2013","New York, NY, USA","","https://doi.org/10.1145/2501654.2501669","","","","","","Association for Computing Machinery","","","","","","","","","CSFs, Critical success factors, ERP, enterprise resource planning, literature review,information systems","","","10.1145/2501654.2501669"
"6","9781450333573","10.1145/2812428.2812442","Knutas, Antti; Hajikhani, Arash; Salminen, Juho; Ikonen, Jouni; Porras, Jari","Cloud-Based Bibliometric Analysis Service for Systematic Mapping Studies","","","","","184--191","2015","New York, NY, USA","","https://doi.org/10.1145/2812428.2812442","Proceedings of the 16th International Conference on Computer Systems and Technologies","","","CompSysTech '15","","Association for Computing Machinery","","","","","","","","","R SaaS bibliometric analysis citation analysis cloud computing social network analysi, systematic mapping studyliterature review","","","10.1145/2812428.2812442"
"7","","10.1145/3150227","Bergmayr, Alexander; Breitenb{\{u}}cher, Uwe; Ferry, Nicolas; Rossini, Alessandro; Solberg, Arnor; Wimmer, Manuel; Kappel, Gerti; Leymann, Frank","A Systematic Review of Cloud Modeling Languages","ACM Comput. Surv.","51","1","","","2018","New York, NY, USA","","https://doi.org/10.1145/3150227","","","","","","Association for Computing Machinery","","","","","","","","","Cloud computing, modeling,domain-specific languages","","","10.1145/3150227"
