Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Python Algorithms: Mastering Basic Algorithms in the Python Language","","","","","10.1007/978-1-4302-3238-4","Magnus Lie Hetland","2010","http://link.springer.com/book/10.1007/978-1-4302-3238-4","Book"
"Python beyond Python","Palgrave Studies in Comedy","","","","10.1007/978-3-319-51385-0","Dr. Paul N. ReinschB. Lynn WhitfieldRobert G. Weiner","2017","http://link.springer.com/book/10.1007/978-3-319-51385-0","Book"
"Beginning Python","","","","","10.1007/978-1-4302-0072-7","Magnus Lie Hetland","2005","http://link.springer.com/book/10.1007/978-1-4302-0072-7","Book"
"Learn Raspberry Pi Programming with Python","","","","","10.1007/978-1-4302-6425-5","Wolfram Donat","2014","http://link.springer.com/book/10.1007/978-1-4302-6425-5","Book"
"Pro Python System Administration","","","","","10.1007/978-1-4842-0217-3","Rytis Sileika","2014","http://link.springer.com/book/10.1007/978-1-4842-0217-3","Book"
"Dive Into Python","","","","","10.1007/978-1-4302-0700-9","Mark Pilgrim","2004","http://link.springer.com/book/10.1007/978-1-4302-0700-9","Book"
"Beginning Python Visualization","","","","","10.1007/978-1-4842-0052-0","Shai Vaingast","2014","http://link.springer.com/book/10.1007/978-1-4842-0052-0","Book"
"Dive Into Python 3","","","","","10.1007/978-1-4302-2416-7","Mark Pilgrim","2009","http://link.springer.com/book/10.1007/978-1-4302-2416-7","Book"
"Pro Android Python with SL4A","","","","","10.1007/978-1-4302-3570-5","Paul Ferrill","2011","http://link.springer.com/book/10.1007/978-1-4302-3570-5","Book"
"Foundations of Python Network Programming","","","","","10.1007/978-1-4302-5855-1","Brandon RhodesJohn Goerzen","2014","http://link.springer.com/book/10.1007/978-1-4302-5855-1","Book"
"Python Descriptors","","","","","10.1007/978-1-4842-2505-9","Jacob Zimmerman","2016","http://link.springer.com/book/10.1007/978-1-4842-2505-9","Book"
"Python Algorithms","","","","","10.1007/978-1-4842-0055-1","Magnus Lie Hetland","2014","http://link.springer.com/book/10.1007/978-1-4842-0055-1","Book"
"The Python Quick Syntax Reference","","","","","10.1007/978-1-4302-6479-8","Gregory Walters","2014","http://link.springer.com/book/10.1007/978-1-4302-6479-8","Book"
"Learn to Program with Python","","","","","10.1007/978-1-4842-2172-3","Irv Kalb","2016","http://link.springer.com/book/10.1007/978-1-4842-2172-3","Book"
"Python for the Busy Java Developer","","","","","10.1007/978-1-4842-3234-7","Deepak Sarda","2017","http://link.springer.com/book/10.1007/978-1-4842-3234-7","Book"
"Python Graphics","","","","","10.1007/978-1-4842-3378-8","B.J. Korites","2018","http://link.springer.com/book/10.1007/978-1-4842-3378-8","Book"
"Beginning Python","","","","","10.1007/978-1-4842-0028-5","Magnus Lie Hetland","2017","http://link.springer.com/book/10.1007/978-1-4842-0028-5","Book"
"The Blender Python API","","","","","10.1007/978-1-4842-2802-9","Chris Conlan","2017","http://link.springer.com/book/10.1007/978-1-4842-2802-9","Book"
"Beginning Python","","","","","10.1007/978-1-4302-0634-7","Magnus Lie Hetland","2008","http://link.springer.com/book/10.1007/978-1-4302-0634-7","Book"
"Python 2 and 3 Compatibility","","","","","10.1007/978-1-4842-2955-2","Joannah Nanjekye","2017","http://link.springer.com/book/10.1007/978-1-4842-2955-2","Book"
"Foundations of Python Network Programming","","","","","10.1007/978-1-4302-0752-8","John Goerzen","2004","http://link.springer.com/book/10.1007/978-1-4302-0752-8","Book"
"Python, PyGame and Raspberry Pi Game Development","","","","","10.1007/978-1-4842-2517-2","Sloan Kelly","2016","http://link.springer.com/book/10.1007/978-1-4842-2517-2","Book"
"Beginning Game Development with Python and Pygame","","","","","10.1007/978-1-4302-0325-4","Will McGugan","2007","http://link.springer.com/book/10.1007/978-1-4302-0325-4","Book"
"Python 3 for Absolute Beginners","","","","","10.1007/978-1-4302-1633-9","Tim HallJ-P Stacey","2009","http://link.springer.com/book/10.1007/978-1-4302-1633-9","Book"
"Beginning Python Visualization","","","","","10.1007/978-1-4302-1844-9","Shai Vaingast","2009","http://link.springer.com/book/10.1007/978-1-4302-1844-9","Book"
"Foundations of Agile Python Development","","","","","10.1007/978-1-4302-0635-4","Jeff Younker","2008","http://link.springer.com/book/10.1007/978-1-4302-0635-4","Book"
"Programming with Python","","","","","10.1007/978-981-10-3277-6","T R Padmanabhan","2016","http://link.springer.com/book/10.1007/978-981-10-3277-6","Book"
"Pro Python","","","","","10.1007/978-1-4842-0334-7","J. Burton BrowningMarty Alchin","2014","http://link.springer.com/book/10.1007/978-1-4842-0334-7","Book"
"Beginning Python Games Development","","","","","10.1007/978-1-4842-0970-7","Harrison KinsleyWill McGugan","2015","http://link.springer.com/book/10.1007/978-1-4842-0970-7","Book"
"PowerShell and Python Together","","","","","10.1007/978-1-4842-4504-0","Chet Hosmer","2019","http://link.springer.com/book/10.1007/978-1-4842-4504-0","Book"
"Introduction to Python for Engineers and Scientists","","","","","10.1007/978-1-4842-3204-0","Sandeep Nagar","2018","http://link.springer.com/book/10.1007/978-1-4842-3204-0","Book"
"Advanced Data Analytics Using Python","","","","","10.1007/978-1-4842-3450-1","Sayan Mukhopadhyay","2018","http://link.springer.com/book/10.1007/978-1-4842-3450-1","Book"
"Snake Charming - The Musical Python","","","","","10.1007/978-3-319-60660-6","Iain Gray","2017","http://link.springer.com/book/10.1007/978-3-319-60660-6","Book"
"Personal Finance with Python","","","","","10.1007/978-1-4842-3802-8","Max Humber","2018","http://link.springer.com/book/10.1007/978-1-4842-3802-8","Book"
"Python Programming Fundamentals","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84996-537-8","Kent D. Lee","2011","http://link.springer.com/book/10.1007/978-1-84996-537-8","Book"
"Python Recipes Handbook","","","","","10.1007/978-1-4842-0241-8","Joey Bernard","2016","http://link.springer.com/book/10.1007/978-1-4842-0241-8","Book"
"Website Scraping with Python","","","","","10.1007/978-1-4842-3925-4","Gábor László Hajba","2018","http://link.springer.com/book/10.1007/978-1-4842-3925-4","Book"
"Practical Python AI Projects","","","","","10.1007/978-1-4842-3423-5","Serge Kruk","2018","http://link.springer.com/book/10.1007/978-1-4842-3423-5","Book"
"Applied Natural Language Processing with Python","","","","","10.1007/978-1-4842-3733-5","Taweh Beysolow II","2018","http://link.springer.com/book/10.1007/978-1-4842-3733-5","Book"
"Make Your Own Python Text Adventure","","","","","10.1007/978-1-4842-3231-6","Phillip Johnson","2018","http://link.springer.com/book/10.1007/978-1-4842-3231-6","Book"
"Python Machine Learning Case Studies","","","","","10.1007/978-1-4842-2823-4","Danish Haroon","2017","http://link.springer.com/book/10.1007/978-1-4842-2823-4","Book"
"Pro Python System Administration","","","","","10.1007/978-1-4302-2606-2","Duncan ParkesMichelle LowmanClay AndresSteve AnglinMark BecknerEwan BuckinghamGary CornellJonathan GennickJonathan HassellMatthew MoodieJeffrey PepperFrank PohlmannDouglas PundickBen Renow-ClarkeDominic ShakeshaftMatt WadeTom WelshMary TobinJennifer L. BlackwellJim ComptonHeather LangMarilyn Smith","2010","http://link.springer.com/book/10.1007/978-1-4302-2606-2","Book"
"Building Chatbots with Python","","","","","10.1007/978-1-4842-4096-0","Sumit Raj","2019","http://link.springer.com/book/10.1007/978-1-4842-4096-0","Book"
"Practical Machine Learning with Python","","","","","10.1007/978-1-4842-3207-1","Dipanjan SarkarRaghav BaliTushar Sharma","2018","http://link.springer.com/book/10.1007/978-1-4842-3207-1","Book"
"Data Science Fundamentals for Python and MongoDB","","","","","10.1007/978-1-4842-3597-3","David Paper","2018","http://link.springer.com/book/10.1007/978-1-4842-3597-3","Book"
"Pro Python","","","","","10.1007/978-1-4302-2758-8","Clay AndresSteve AnglinMark BecknerEwan BuckinghamGary CornellJonathan GennickJonathan HassellMichelle LowmanMatthew MoodieDuncan ParkesJeffrey PepperFrank PohlmannDouglas PundickBen Renow-ClarkeDominic ShakeshaftMatt WadeTom WelshMary TobinNancy SixsmithAngel Alchin","2010","http://link.springer.com/book/10.1007/978-1-4302-2758-8","Book"
"Mastering Machine Learning with Python in Six Steps","","","","","10.1007/978-1-4842-2866-1","Manohar Swamynathan","2017","http://link.springer.com/book/10.1007/978-1-4842-2866-1","Book"
"Introduction to Programming Concepts with Case Studies in Python","","","","","10.1007/978-3-7091-1343-1","Göktürk ÜçolukSinan Kalkan","2012","http://link.springer.com/book/10.1007/978-3-7091-1343-1","Book"
"Pro Python Best Practices","","","","","10.1007/978-1-4842-2241-6","Kristian Rother","2017","http://link.springer.com/book/10.1007/978-1-4842-2241-6","Book"
"Practical Docker with Python","","","","","10.1007/978-1-4842-3784-7","Sathyajith Bhat","2018","http://link.springer.com/book/10.1007/978-1-4842-3784-7","Book"
"Lean Python","","","","","10.1007/978-1-4842-2385-7","Paul Gerrard","2016","http://link.springer.com/book/10.1007/978-1-4842-2385-7","Book"
"Data Analysis and Visualization Using Python","","","","","10.1007/978-1-4842-4109-7","Dr. Ossama Embarak","2018","http://link.springer.com/book/10.1007/978-1-4842-4109-7","Book"
"Python Continuous Integration and Delivery","","","","","10.1007/978-1-4842-4281-0","Moritz Lenz","2019","http://link.springer.com/book/10.1007/978-1-4842-4281-0","Book"
"Python Data Analytics","","","","","10.1007/978-1-4842-3913-1","Fabio Nelli","2018","http://link.springer.com/book/10.1007/978-1-4842-3913-1","Book"
"Foundations of Python Network Programming","","","","","10.1007/978-1-4302-3004-5","Brandon RhodesJohn Goerzen","2010","http://link.springer.com/book/10.1007/978-1-4302-3004-5","Book"
"Python For ArcGIS","","","","","10.1007/978-3-319-18398-5","Laura Tateosian","2015","http://link.springer.com/book/10.1007/978-3-319-18398-5","Book"
"Machine Learning Applications Using Python","","","","","10.1007/978-1-4842-3787-8","Puneet Mathur","2019","http://link.springer.com/book/10.1007/978-1-4842-3787-8","Book"
"Text Analytics with Python","","","","","10.1007/978-1-4842-2388-8","Dipanjan Sarkar","2016","http://link.springer.com/book/10.1007/978-1-4842-2388-8","Book"
"Pro Python 3","","","","","10.1007/978-1-4842-4385-5","J. Burton BrowningMarty Alchin","2019","http://link.springer.com/book/10.1007/978-1-4842-4385-5","Book"
"The Python Workbook","","","","","10.1007/978-3-319-14240-1","Ben Stephenson","2014","http://link.springer.com/book/10.1007/978-3-319-14240-1","Book"
"Practical Python Design Patterns","","","","","10.1007/978-1-4842-2680-3","Wessel Badenhorst","2017","http://link.springer.com/book/10.1007/978-1-4842-2680-3","Book"
"An Introduction to Python and Computer Programming","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-287-609-6","Yue Zhang","2015","http://link.springer.com/book/10.1007/978-981-287-609-6","Book"
"Python Unit Test Automation","","","","","10.1007/978-1-4842-2677-3","Ashwin Pajankar","2017","http://link.springer.com/book/10.1007/978-1-4842-2677-3","Book"
"Python Data Analytics","","","","","10.1007/978-1-4842-0958-5","Fabio Nelli","2015","http://link.springer.com/book/10.1007/978-1-4842-0958-5","Book"
"Learn Data Analysis with Python","","","","","10.1007/978-1-4842-3486-0","A.J. HenleyDave Wolf","2018","http://link.springer.com/book/10.1007/978-1-4842-3486-0","Book"
"Numerical Python","","","","","10.1007/978-1-4842-4246-9","Robert Johansson","2019","http://link.springer.com/book/10.1007/978-1-4842-4246-9","Book"
"Beginning Ethical Hacking with Python","","","","","10.1007/978-1-4842-2541-7","Sanjib Sinha","2017","http://link.springer.com/book/10.1007/978-1-4842-2541-7","Book"
"MySQL Connector/Python Revealed","","","","","10.1007/978-1-4842-3694-9","Jesper Wisborg Krogh","2018","http://link.springer.com/book/10.1007/978-1-4842-3694-9","Book"
"Python for Data Mining Quick Syntax Reference","","","","","10.1007/978-1-4842-4113-4","Ph.D. Valentina Porcu","2018","http://link.springer.com/book/10.1007/978-1-4842-4113-4","Book"
"Python for Signal Processing","","","","","10.1007/978-3-319-01342-8","José Unpingco","2014","http://link.springer.com/book/10.1007/978-3-319-01342-8","Book"
"Simulating Nonlinear Circuits with Python Power Electronics","","","","","10.1007/978-3-319-73984-7","Shivkumar V. Iyer","2018","http://link.springer.com/book/10.1007/978-3-319-73984-7","Book"
"The Medieval Python","The New Middle Ages","","","","10.1057/9781137075055","R. F. YeagerToshiyuki Takamiya","2012","http://link.springer.com/book/10.1057/9781137075055","Book"
"Learn Raspberry Pi Programming with Python","","","","","10.1007/978-1-4842-3769-4","Wolfram Donat","2018","http://link.springer.com/book/10.1007/978-1-4842-3769-4","Book"
"Numerical Python","","","","","10.1007/978-1-4842-0553-2","Robert Johansson","2015","http://link.springer.com/book/10.1007/978-1-4842-0553-2","Book"
"Dynamical Systems with Applications using Python","","","","","10.1007/978-3-319-78145-7","Stephen Lynch","2018","http://link.springer.com/book/10.1007/978-3-319-78145-7","Book"
"Learn to Program with Python 3","","","","","10.1007/978-1-4842-3879-0","Irv Kalb","2018","http://link.springer.com/book/10.1007/978-1-4842-3879-0","Book"
"Deep Learning with Python","","","","","10.1007/978-1-4842-2766-4","Nikhil Ketkar","2017","http://link.springer.com/book/10.1007/978-1-4842-2766-4","Book"
"Deep Learning with Applications Using Python","","","","","10.1007/978-1-4842-3516-4","Navin Kumar Manaswi","2018","http://link.springer.com/book/10.1007/978-1-4842-3516-4","Book"
"Python Descriptors","","","","","10.1007/978-1-4842-3727-4","Jacob Zimmerman","2018","http://link.springer.com/book/10.1007/978-1-4842-3727-4","Book"
"Python Programming Fundamentals","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-6642-9","Kent D. Lee","2014","http://link.springer.com/book/10.1007/978-1-4471-6642-9","Book"
"Pyomo — Optimization Modeling in Python","Springer Optimization and Its Applications","","","","10.1007/978-3-319-58821-6","William E. HartCarl D. LairdJean-Paul WatsonDavid L. WoodruffGabriel A. HackebeilBethany L. NicholsonJohn D. Siirola","2017","http://link.springer.com/book/10.1007/978-3-319-58821-6","Book"
"An Introduction to Statistics with Python","Statistics and Computing","","","","10.1007/978-3-319-28316-6","Thomas Haslwanter","2016","http://link.springer.com/book/10.1007/978-3-319-28316-6","Book"
"Practical Social Network Analysis with Python","Computer Communications and Networks","","","","10.1007/978-3-319-96746-2","Prof. Krishna Raj P.M.Ankith MohanProf. K.G. Srinivasa","2018","http://link.springer.com/book/10.1007/978-3-319-96746-2","Book"
"Elementary Mechanics Using Python","Undergraduate Lecture Notes in Physics","","","","10.1007/978-3-319-19596-4","Anders Malthe-Sørenssen","2015","http://link.springer.com/book/10.1007/978-3-319-19596-4","Book"
"Data Structures and Algorithms with Python","Undergraduate Topics in Computer Science","","","","10.1007/978-3-319-13072-9","Kent D. LeeSteve Hubbard","2015","http://link.springer.com/book/10.1007/978-3-319-13072-9","Book"
