id,arquivo,tipo,txtorigem,txttranslate,datahoracarga,datahoratranslate
1,2018-Berg et al,###,Contents lists available at ScienceDirect,,09/05/2019 23:21:50,
2,2018-Berg et al,###,The Journal of Systems & Software,,09/05/2019 23:21:50,
3,2018-Berg et al,###,journal homepage: www.elsevier.com/locate/jss,,09/05/2019 23:21:50,
4,2018-Berg et al,###,Controversy Corner,,09/05/2019 23:21:50,
5,2018-Berg et al,###,Software startup engineering: A systematic mapping study,,09/05/2019 23:21:50,
6,2018-Berg et al,###,"Vebjørn Berga, Jørgen Birkelanda,⁎, Anh Nguyen-Ducb, Ilias O. Pappasa, Letizia Jaccheria",,09/05/2019 23:21:50,
7,2018-Berg et al,###,T,,09/05/2019 23:21:50,
8,2018-Berg et al,###,"a Department of Computer Science, Norwegian University of Science and Technology (NTNU), Sem Sælands vei 9, Trondheim, 7491, Norway bDepartment of Business and IT, University of South-Eastern Norway",,09/05/2019 23:21:50,
9,2018-Berg et al,###,A R T I C L E I N F O,,09/05/2019 23:21:50,
10,2018-Berg et al,###,A B S T R A C T,,09/05/2019 23:21:50,
11,2018-Berg et al,###,Keywords: Software development Systematic mapping study Startup Software startup Software engineering,,09/05/2019 23:21:50,
12,2018-Berg et al,###,"Software startups have long been a signiﬁcant driver in economic growth and innovation. The on-going failure of the major number of startups calls for a better understanding of state-of-the-practice of startup activities. Objective With a focus on engineering perspective, this study aims at identifying the change in focus of research area and thematic concepts operating startup research. A systematicmapping study on 74 primary papers (in which 27 papers are newly selected) from 1994 to 2017 was conducted with a comparison with ﬁndings from previous mapping studies. A classiﬁcation schema was developed, and the primary studies were ranked according to their rigour. We discovered that most research has been conducted within the SWEBOK knowledge areas software engineering process, management, construction, design, and requirements, with the shift of focus towards process andmanagement areas.We also provide an alternative classiﬁcation for future startup research.We ﬁnd that the rigour of the primary papers was assessed to be higher between 2013–2017 than that of 1994–2013.We also ﬁnd an inconsistency of characterizing startups. Future work can focus on certain research themes, such as startup evolution models and human aspects, and consolidate the thematic concepts describing software startups.",,09/05/2019 23:21:50,
13,2018-Berg et al,###,1. Introduction,,09/05/2019 23:21:50,
14,2018-Berg et al,###,"Technology-based startups have long been an important driver for global economic growth and competitiveness (Unterkalmsteiner et al., 2016). Software startups, newly created companies producing cuttingedge software technology, have shown to be an important source of software innovation. Despite stories of successful startups, 90 percent of them fail, primarily due to self-destruction rather than competition (Marmer et al., 2011; Crowne, 2002). The failures come from ﬁnancial andmarket factors, for example, insuﬃcient funding to operate startups activities, failure in ﬁnding product-market ﬁt, and building an entrepreneurial team (Giardino et al., 2015). However, there are also identiﬁed unique challenges related to software development and innovation methods (Giardino et al., 2015). Software startup engineering can be deﬁned as ”the use of scientiﬁc, engineering, managerial, and systematic approaches with the aim of successfully developing software systems in startup companies” (Giardino et al., 2016). Startup researchers have called for a further attention to engineering approaches to support startup activities in all startup evolution stages (Unterkalmsteiner et al., 2016). Previously, most of the research in the ﬁeld of software engineering has been conducted in relation to the",,09/05/2019 23:21:50,
15,2018-Berg et al,###,"needs and challenges of established companies, ﬁrst identiﬁed by Sutton Jr (2000). Startups are at the forefront of applying new technologies in practice. From an engineering perspective, developing technology products is challenging as the startup context presents a dynamic and fastchanged environment, making it diﬃcult to adopt prescriptive engineering practices (Giardino et al., 2016). Despite the rapid growth of the population of startups, the research on software engineering in startups is still at an early stage (Unterkalmsteiner et al., 2016). One of the most extensive literature reviews in the ﬁeld is the systematic mapping study of Paternoster et al. (2014), reviewing a total of 43 primary studies from 1994 until 2013. This review shows a lack of high quality studies in the ﬁeld. While a large amount of Software Engineering practices were extracted from startups, the practices were chosen randomly and adopted under the constraints imposed by the startup context. Thus, an updated systematic mapping is required as it will identify the current status in the area and pave the way for more empirical studies examining startups. Since 2015, we observed an increased focus on software startup research (i.e., the organization of three International software startup workshops (ISSW) in 2016 and 2017, and software startups tracks at",,09/05/2019 23:21:50,
16,2018-Berg et al,###,"⁎ Corresponding author. E-mail addresses: vebjorbe@stud.ntnu.no (V. Berg), jorgen.birkeland1@gmail.com, jorgebi@stud.ntnu.no (J. Birkeland), anh.nguyen.duc@usn.no (A. Nguyen-Duc), ilpappas@ntnu.no (I.O. Pappas), letizia.jaccheri@ntnu.no (L. Jaccheri).",,09/05/2019 23:21:50,
17,2018-Berg et al,###,https://doi.org/10.1016/j.jss.2018.06.043 Received 26 February 2018; Received in revised form 11 June 2018; Accepted 18 June 2018,,09/05/2019 23:21:50,
18,2018-Berg et al,###,Available online 19 June 2018 0164-1212/ © 2018 Elsevier Inc. All rights reserved.,,09/05/2019 23:21:50,
19,2018-Berg et al,###,,,09/05/2019 23:21:50,
20,2018-Berg et al,###,"PROFES 2017 and XP 2017 conferences). The previous systematic review has rapidly gained a large amount of citations (Paternoster et al., 2014). While this implies the further growth in software startup research, a revisit on the area can identify how engineering activities in software startups have changed over time. The objective of this mapping study is to provide an updated view on software startup research in order to identify research gaps. Diﬀerent from the previous mapping studies (Paternoster et al., 2014; Klotins et al., 2015), we aim at synthesizing startup descriptions in research and its associated software engineering knowledge areas. Beside market factors and ﬁnancial factors, knowledge about engineering factors and how they aﬀect the startup initiatives and development would be helpful for entrepreneurs in understanding their startups’ challenges. We assume that startups perform various types of software engineering activities, as described in SWEBOK (Bourque and Fairley, 2014).We would like to observe how software startup research has evolved and possibly matured in some Software Engineering knowledge areas. SWEBOK is previously used in Klotins et al. (2015), which allow for easy comparisons and make it possible to identify changes in terms of research direction for the last ﬁve years. The research objective leads to the following research questions:",,09/05/2019 23:21:50,
21,2018-Berg et al,###,RQ1: How has software startup research changed over time in terms of focused knowledge areas? RQ2: What is the relative strength of the empirical evidence reported? RQ3: In what context has software startup research been conducted?,,09/05/2019 23:21:50,
