id,arquivo,tipo,txtorigem,txttranslate,datahoracarga,datahoratranslate
1,2018-Tripathi et al,###,The Journal of Systems and Software,,09/05/2019 23:21:50,
2,2018-Tripathi et al,###,Contents lists available at ScienceDirect  journal homepage: www.elsevier.com/locate/jss,,09/05/2019 23:21:50,
3,2018-Tripathi et al,###,An anatomy of requirements engineering in software startups using  multi-vocal literature and case survey,,09/05/2019 23:21:50,
4,2018-Tripathi et al,###,"Nirnaya Tripathi a ,  ∗, Eriks Klotins c  , Rafael Prikladnicki b  , Markku Oivo a  Kari Liukkunen a  Leandro Bento Pompermaier b  , Tony Gorschek c  , Arun Sojan Kudakacheril a  , Michael Unterkalmsteiner c",,09/05/2019 23:21:50,
5,2018-Tripathi et al,###,",",,09/05/2019 23:21:50,
6,2018-Tripathi et al,###,",",,09/05/2019 23:21:50,
7,2018-Tripathi et al,###,a b s t r a c t,,09/05/2019 23:21:50,
8,2018-Tripathi et al,###,a  b  c  a r t i c l e i n f o,,09/05/2019 23:21:50,
9,2018-Tripathi et al,###,"M3S Research Group, University of Oulu, Oulu, Finland  Software Engineering Research Lab, Blekinge Institute of Technology, Karlskrona, Sweden  Computer Science School, PUCRS Pontiﬁcal Catholic University of Rio Grande do Sul, Brazil  Article history:  Context: Software startups aim to develop innovative products, grow rapidly, and thus become important  Revised 13 July 2018  Received 8 February 2018  development, but its effects on software startups are unclear.  in the development of economy and jobs. Requirements engineering (RE) is a key process area in software  Accepted 27 August 2018  Available online 28 August 2018  Objective: The main objective of this study was to explore how RE (elicitation, documentation, prioritiza Keywords:  tion and validation) is used in software startups.  Method: A multi-vocal literature review (MLR) was used to ﬁnd scientiﬁc and gray literature. In addition,  Software startups  Requirements engineering  a case survey was employed to gather empirical data to reach this study’s objective.  Multi-vocal literature review  Case survey  Results: In the MLR, 36 primary articles were selected out of 28,643 articles. In the case survey, 80 re spondents provided information about software startup cases across the globe. Data analysis revealed  that during RE processes, internal sources (e.g., for source), analyses of similar products (e.g., elicitation),  prioritization) and internal reviews/prototypes (e.g., for validation) were the most used techniques.  uses of informal notes (e.g., for documentation), values to customers, products and stakeholders (e.g., for  Conclusion: After an analysis of primary literature, it was concluded that research on this topic is still in  early stages and more systematic research is needed. Furthermore, few topics were suggested for future  research.  © 2018 Elsevier Inc. All rights reserved.  Small-scale companies face many challenges caused by substan dard or basic RE practices, such as the needs to update various  product components during required changes, communication and  coordination issues, confusing project overviews, and writing diﬃ culties regarding the understood requirements ( Quispe et al., 2010;  Tripathi et al., 2016 ). In the context of software startups, due to  their small sizes and their staffs’ limited software development ex perience, RE processes are basic ( Paternoster et al., 2014; Klotins  et al., 2015 ). These poor RE practices often make products unsuit able for their target markets ( Paternoster et al., 2014; Mater and  Subramanian, 20 0 0 ).  RE processes are important for startup product development;  however, comprehensive studies on RE in software startups are  limited ( Paternoster et al., 2014; Klotins et al., 2015 ). As a re sult, there is a lack of in-depth knowledge concerning RE in soft ware startup contexts and RE’s importance when it comes to star tups’ success. Thus, there is a research gap, and further studies are",,09/05/2019 23:21:50,
10,2018-Tripathi et al,###,"1. Introduction  Software startups are important for the economy due to their  potential for creating jobs and adding value to domestic products  on a global scale ( Kane, 2010 ). However, due to their characteris tics, including limited resources and staff with limited product de velopment experience, product development occurs with irregular  software engineering practices, and such practices often depend on  startups’ contexts ( Tripathi et al., 2016 ). In software engineering,  using unreliable RE techniques can cause software projects to fail.  In RE, including relevant and experienced stakeholders and using  standardized processes to collect requirements are vital elements  ( Pacheco and Garcia, 2012; Verner et al., 2007 ).",,09/05/2019 23:21:50,
