id,arquivo,tipo,txtorigem,txttranslate,datahoracarga,datahoratranslate
1,arquivo2,TIT,Exploring Processes in Small Software Companies: A Systematic Review,Explorando Processos em Pequenas Empresas de Software: Uma Revisão Sistemática,05/05/2019 19:49:01,05/05/2019 19:50:13
2,arquivo2,AUT,"Nirnaya Tripathi(&), Elina Annanperä, Markku Oivo(&), and Kari Liukkunen","Nirnaya Tripathi (e), Elina Annanpera, Markku Oivo (&) e Kari Liukkunen",05/05/2019 19:49:01,05/05/2019 19:50:20
3,arquivo2,###,"M3S Research Unit, University of Oulu, Oulu, Finland {Nirnaya.Tripathi,Elina.Annanpera, Markku.Oivo,Kari.Liukkunen}@oulu.ﬁ","Unidade de Pesquisa M3S, Universidade de Oulu, Oulu, Finlândia {Nirnaya.Tripathi, Elina.Annanpera, Markku.Oivo, Kari.Liukkunen} @oulu.",05/05/2019 19:49:01,05/05/2019 19:50:28
4,arquivo2,ABS,"Abstract. Context: To attain an advantage over competitors, small software companies (SSCs) need to have an efcient software development process. However, systematic review studies that have examined the software develop- ment process within the context of SSCs are limited. Objective: Therefore, the objective of this paper is to rigorously assess the current state of practice of the software development process of SSCs using ISO/IEC 12207 standard as an analyzing framework. Method: A systematic literature review was conducted to analyze relevant papers published between 2004 and 2014. The selected papers were categorized according to the empirical technique used. A total of 41 pri- mary papers focusing on various aspects of the software development process of SSCs were discovered out of 3841 papers. Results: Based on the evidence found in primary papers, requirement engineering, project planning, life cycle model management and conguration management are the frequently considered processes for improvement when software process improvement (SPI) programs are conducted in SSCs. In addition, understanding the collected requirements and communication barriers between product management and the rest of the work team were among the challenges observed and experienced by SSCs during the software development process.","Abstrato. Contexto: Para obter vantagem sobre os concorrentes, as pequenas empresas de software (SSCs) precisam ter um processo de desenvolvimento de software eficiente. No entanto, estudos de revisão sistemática que examinaram o processo de desenvolvimento de software dentro do contexto de SSCs são limitados. Objetivo: Portanto, o objetivo deste artigo é avaliar rigorosamente o estado atual da prática do processo de desenvolvimento de software de SSCs usando a norma ISO / IEC 12207 como uma estrutura de análise. Método: Uma revisão sistemática da literatura foi realizada para analisar artigos relevantes publicados entre 2004 e 2014. Os artigos selecionados foram categorizados de acordo com a técnica empírica utilizada. Um total de 41 artigos principais focados em vários aspectos do processo de desenvolvimento de software de SSCs foram descobertos a partir de 3841 artigos. Resultados: Com base nas evidências encontradas em artigos primários, a engenharia de requisitos, o planejamento de projetos, o gerenciamento de modelos de ciclo de vida e o gerenciamento de configurações são os processos freqüentemente considerados para melhoria quando programas de melhoria de processos de software (SSI) são conduzidos em SSCs. Além disso, a compreensão dos requisitos coletados e as barreiras de comunicação entre o gerenciamento de produtos e o restante da equipe de trabalho estavam entre os desafios observados e experimentados pelas SSCs durante o processo de desenvolvimento de software.",05/05/2019 19:49:01,05/05/2019 19:50:35
5,arquivo2,WOR,Keywords: Software process  Small software company  Systematic literature review  ISO/IEC 12207,Palavras-chave: Processo de software? Pequena empresa de software? Revisão sistemática da literatura? ISO / IEC 12207,05/05/2019 19:49:01,05/05/2019 19:50:42
6,arquivo2,###,1 Introduction,1. Introdução,05/05/2019 19:49:01,05/05/2019 19:50:49
7,arquivo2,###,"In the global economy, the most rapidly growing sector is the software industry, which has emerged as one of the key economic drivers for many nations [1]. Another sig- nicant entity that contributes to driving the world economy is the small software company (SSC). SSCs play an important role in their nations’ economies because of their ability to capture the kinds of markets that larger companies are incapable of reaching or have rejected. SSCs typically consist of less than 50 employees, and their aim is to create one or a few software products for their customers [2]. They also develop components for larger systems produced by other companies or offer main- tenance services for the software products created by other rms [3].","Na economia global, o setor de crescimento mais rápido é a indústria de software, que emergiu como um dos principais motores econômicos de muitas nações [1]. Outra entidade importante que contribui para impulsionar a economia mundial é a pequena empresa de software (SSC). Os CSCs desempenham um papel importante nas economias de seus países por causa de sua capacidade de capturar os tipos de mercados que as empresas maiores são incapazes de alcançar ou de rejeitar. Normalmente, os SSCs consistem em menos de 50 funcionários e seu objetivo é criar um ou alguns produtos de software para seus clientes [2]. Eles também desenvolvem componentes para sistemas maiores produzidos por outras empresas ou oferecem serviços de manutenção para os produtos de software criados por outras empresas [3].",05/05/2019 19:49:01,05/05/2019 19:50:55
8,arquivo2,###,"© Springer International Publishing Switzerland 2016 P.M. Clarke et al. (Eds.): SPICE 2016, CCIS 609, pp. 150–165, 2016. DOI: 10.1007/978-3-319-38980-6_12","© Springer International Publishing Suíça 2016, P.M. Clarke et al. (Eds.): SPICE 2016, CCIS 609, pp. 150–165, 2016. DOI: 10.1007 / 978-3-319-38980-6_12",05/05/2019 19:49:01,05/05/2019 19:51:02
9,arquivo2,###,,,05/05/2019 19:49:01,05/05/2019 19:51:09
10,arquivo2,###,"To maintain their competitiveness in their target markets and to sustain a healthy relationship with their customers, SSCs need to supply increasingly faster and cheaper software products [4]. To develop such software products, these companies need to have efcient software development processes [5]. SSCs denitely need all the assis- tance in seeking the relevant information to make their software development processes efcient, but they often lack systematic process knowledge for determining which type of processes are more relevant to their context [3, 6]. One way to analyze software process knowledge is by systematically examining the existing literature on SSCs. Some systematic literature reviews (SLRs) have focused on analyzing the existing approaches toward software process improvement (SPI) in small and medium enter- prises (SMEs). For example, Pino et al. [7] concluded that models such as Capability Maturity Model Integration (CMMI) and Software Process Improvement and Capa- bility Determination (SPICE) are not suitable for SPI programs in SMEs and instead proposed the use of lighter-weight models. Sulayman and Mendes [8] concluded that very few studies have explicitly focused on SPI for Web companies. Paternoster et al. [9] and Klotins et al. [10] described the software development of start-ups. However, systematic review studies in the context of SSCs and their software development processes are limited [11]. Therefore, there is a need for systematic review studies in the SSC context with the goal to explore the state-of-practice of software processes and the types of challenges associated with it. In this paper, we present a systematic review of the literature, with the aim of identifying the software processes utilized in SSCs. We have used the ISO/IEC 12207 [12] processes as an analyzing framework to describe both the current state-of-practice and challenges present in the software development processes. The paper proceeds as follows. In Sect. 2, the background and motivation are described. In Sect. 3, the sys- tematic review is presented. Section 4 presents the results from the review, followed by a discussion of the research questions presented and our conclusions.","Para manter sua competitividade em seus mercados-alvo e manter um relacionamento saudável com seus clientes, os SSCs precisam fornecer produtos de software cada vez mais rápidos e baratos [4]. Para desenvolver tais produtos de software, essas empresas precisam ter processos de desenvolvimento de software eficientes [5]. Os CSCs definitivamente precisam de toda a assistência na busca de informações relevantes para tornar seus processos de desenvolvimento de software eficientes, mas muitas vezes carecem de conhecimento sistemático do processo para determinar quais tipos de processos são mais relevantes para seu contexto [3, 6]. Uma forma de analisar o conhecimento do processo de software é examinando sistematicamente a literatura existente sobre SSCs. Algumas revisões sistemáticas de literatura (SLRs) focaram-se na análise das abordagens existentes para a melhoria de processos de software (SPI) em pequenas e médias empresas (SMEs). Por exemplo, Pino et al. [7] concluíram que modelos como CMMI (Capability Maturity Model Integration) e SPICE (Software Process Improvement and Capability Determination) não são adequados para programas SPI em PMEs e, em vez disso, propuseram o uso de modelos mais leves. Sulayman e Mendes [8] concluíram que muito poucos estudos se concentraram explicitamente no SPI para empresas da Web. Paternoster et al. [9] e Klotins et al. [10] descreveu o desenvolvimento de software de start-ups. No entanto, estudos de revisão sistemática no contexto de SSCs e seus processos de desenvolvimento de software são limitados [11]. Portanto, há uma necessidade de estudos de revisão sistemática no contexto do SSC com o objetivo de explorar o estado da prática dos processos de software e os tipos de desafios associados a ele. Neste artigo, apresentamos uma revisão sistemática da literatura, com o objetivo de identificar os processos de software utilizados nas CSS. Usamos os processos da ISO / IEC 12207 [12] como uma estrutura de análise para descrever tanto o estado atual da prática quanto os desafios presentes nos processos de desenvolvimento de software. O trabalho prossegue da seguinte forma. Na seita 2, o fundo e a motivação são descritos. Na seita 3, a revisão sistemática é apresentada. A seção 4 apresenta os resultados da revisão, seguidos de uma discussão sobre as questões de pesquisa apresentadas e nossas conclusões.",05/05/2019 19:49:01,05/05/2019 19:51:15
