BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5,DOI
6,"","Wesp2018","Wesp, P.","A Culturally Informed, Resource-Based Theory","",,,"June","1--7",2018,"","","","Proc. Technology and Innovation (ICE/ITMC) 2018 IEEE Int. Conf. Engineering","","","","","","","","","","","","","","business data processing, consumer behaviour, cultural aspects, information resources, Internet, retail data processing, culturally informed resource-based theory, online-based business models, shopping platforms, customer reviews, consumer culture theory, electronic word-of-mouth, eWOM, CCT, Cultural differences, Economics, Biological system modeling, Technological innovation, Companies, Conferences, consumer culture theory, service-dominant logic, co-creation, electronic word-of-mouth","","","10.1109/ICE.2018.8436258"
6,"","NAKAJIMA2018","NAKAJIMA, S.","[Invited] Quality Assurance of Machine Learning Software","",,,"October","601--604",2018,"","","","Proc. IEEE 7th Global Conf. Consumer Electronics (GCCE)","","","","","","","","","","","","","","learning (artificial intelligence), product quality, quality assurance, machine learning software, ML-based systems, quality assurance methods, product qualities, service qualities, data input set, Machine learning, Training, Software, Quality assessment, Product design, Testing, Neural networks, dataset diversity, metamorphic testing, service dominant logic, independent assessment","","","10.1109/GCCE.2018.8574766"
6,"","Lee2018","Lee, B.; Cooper, R.; Hands, D.; Coulton, P.","[Re]-imagining vision and values: Design as a driver for value creation in the Internet of Things","",,,"March","1--11",2018,"","","","Proc. Living in the Internet of Things: Cybersecurity of the IoT - 2018","","","","","","","","","","","","","","innovation management, Internet, Internet of Things, knowledge management, organisational aspects, product design, value creation, digital age, digital technology, digital economy results, IoT products, dynamic business models, organisations increase turnover, emergent opportunities, potential commercial opportunities, service-dominant logic, emergent design process, service development, product-service offerings, Internet of Things, Kondratieff wave theory, Internet of Things, Value creation in the IoT, Design and development process, Role of design in value creation for IoT","","","10.1049/cp.2018.0023"
6,"","Kayabay2018","Kayabay, K.; Gökalp, M. O.; Eren, P. E.; Koçyiğit, A.","[WiP] A Workflow and Cloud Based Service-Oriented Architecture for Distributed Manufacturing in Industry 4.0~Context","",,,"November","88--92",2018,"","","","Proc. IEEE 11th Conf. Service-Oriented Computing and Applications (SOCA)","","","","","","","","","","","","","","Manufacturing, Cloud computing, Industries, Task analysis, Service-oriented architecture, Unified modeling language, workflow, service-oriented architecture, distributed manufacturing, cloud manufacturing, industry 4.0","","","10.1109/SOCA.2018.00020"
7,"","Cho2018","Cho, J.","Dynamics of Uncertain and Conflicting Opinions in Social Networks","IEEE Transactions on Computational Social Systems",5,2,"June","518--531",2018,"","","","","","","","","","","","","","","","","","multi-agent systems, social networking (online), uncertain opinions, opinion convergence, UIA updates, similarity-based trust, uncertainty-based trust, trust attitudes, binomial opinion, subjective logic, informed agents, dominant agents, interacting agent, uninformed agents, Uncertainty, Convergence, Computational modeling, Social network services, Analytical models, Adaptation models, Mathematical model, Consensus, opinion dynamics, similarity, subjective logic (SL), uncertainty","","","10.1109/TCSS.2018.2826532"
6,"","Sudo2017","Sudo, S.; Ito, Y.","An Analysis of the Service Ecosystem of the Japanese Pay-Television Industry from the Perspective of Service Dominant Logic","",,,"July","1--10",2017,"","","","Proc. Portland Int. Conf. Management of Engineering and Technology (PICMET)","","","","","","","","","","","","","","Internet, market research, television broadcasting, television displays, service ecosystem, Japanese pay-television industry, service dominant logic, SDL theory, service exchange, media marketing research, Japanese market, pay-TV industry, Ecosystems, Cable TV, Industries, Satellite broadcasting, Optical fiber cables","","","10.23919/PICMET.2017.8125346"
6,"","Pratama2017","Pratama, A. P.; Rahman, N. J. N.; Wibawa, A. P.; Atmaja, T. D.","IT service management based on service-dominant logic: Case Academic Information System State University of Malang","",,,"October","517--520",2017,"","","","Proc. 3rd Int. Conf. Science in Information Technology (ICSITech)","","","","","","","","","","","","","","educational administrative data processing, educational institutions, information systems, IT service management, Academic Information System State University of Malang, GDL, SDL, management strategy, Goods-Dominant Logic, Information Technology businesses, customer service, marketing strategies, service-dominant logic, Information systems, Information technology, Proposals, Companies, Collaboration, Education, academic information system, service-dominant logic, information system","","","10.1109/ICSITech.2017.8257167"
6,"","Hu2017","Hu, Jing; Hu, Qiying","Contract type of complementary product and service with quantity decisions","",,,"June","1--6",2017,"","","","Proc. Int. Conf. Service Systems and Service Management","","","","","","","","","","","","","","contracts, customer services, game theory, mobile handsets, organisational aspects, supply chain management, supply chains, service-dominant logic, supply chain members, wireless industry, supply chain, handset vendor, service provider, heterogeneous consumers, game theoretical model, complementary product delivery, complementary service delivery, firm preferences, market coverage, revenue sharing contract, incentive, wholesale price contract, low-valuation consumers, quantity decisions, Contracts, Wireless communication, Supply chains, Industries, Mobile handsets, supply chain management, complementary product and service, contract type, game theory","","","10.1109/ICSSSM.2017.7996146"
6,"","Alias2017","Alias, E. S.; Mukhtar, M.; Jenal, R.","Embedding key user values for the adoption of unified communication and collaboration service","",,,"November","1--4",2017,"","","","Proc. 6th Int. Conf. Electrical Engineering and Informatics (ICEEI)","","","","","","","","","","","","","","business data processing, innovation management, knowledge management, open systems, user knowledge, communication exchange, business processes, UC\&C, unified communication and collaboration service, key user value embedding, interoperability, Technological innovation, Collaboration, Complexity theory, Bibliographies, Observability, Organizations, Service Science, User Value, Unified Communications and collaboration, Service Dominant Logic","","","10.1109/ICEEI.2017.8312412"
6,"","Pogue2016","Pogue, G. P.; Bravo, M.; Tran, S.","Iteration strategies for successful positioning of innovative products into new markets","",,,"October","1--9",2016,"","","","Proc. IEEE Int. Professional Communication Conf. (IPCC)","","","","","","","","","","","","","","commerce, innovation management, marketing, product design, risk management, iteration strategies, innovative products, entrepreneurs, manner dialogue, formal pitch documents, oral presentations, product design, new market, business stakeholders, value proposition, Companies, Hospitals, Medical diagnostic imaging, Stakeholders, Training, Entrepreneurs, goods dominant logic, iteration, service dominant logic, value-in-exchange, value-in-use, value proposition","","","10.1109/IPCC.2016.7740539"
6,"","Miller2016","Miller, B. A.; Caceres, R. S.; Smith, S. T.","Intersection and convex combination in multi-source spectral planted cluster detection","",,,"December","365--369",2016,"","","","Proc. IEEE Global Conf. Signal and Information Processing (GlobalSIP)","","","","","","","","","","","","","","graph theory, probability, multisource spectral planted cluster detection, signal detection, multiple connection types, convex combination aggregation method, intersection aggregation method, spectral detection method, adversarial cluster placement, graph analysis, dominant regions, Image edge detection, Eigenvalues and eigenfunctions, Symmetric matrices, Social network services, Electronic mail, Logic gates, Detection algorithms, planted cluster detection, graph analysis, community detection, multi-source networks, graph aggregation","","","10.1109/GlobalSIP.2016.7905865"
6,"","Koskela-Huotari2016","Koskela-Huotari, K.; Siltaloppi, J.; Vargo, S. L.","Designing Institutional Complexity to Enable Innovation in Service Ecosystems","",,,"January","1596--1605",2016,"","","","Proc. 49th Hawaii Int. Conf. System Sciences (HICSS)","","","","","","","","","","","","","","business data processing, organisational aspects, social aspects of automation, institutional complexity, service ecosystems, institutionally enabled systems, constrained systems, near-decomposable complex systems, institutionalized views, social network theory, Ecosystems, Technological innovation, Complexity theory, Complex systems, Context, Social network services, Collaboration, Innovation, Service ecosystems, Institutional complexity, Service-dominant logic","","","10.1109/HICSS.2016.202"
6,"","Herterich2016","Herterich, M. M.; Buehnen, T.; Uebernickel, F.; Brenner, W.","A Taxonomy of Industrial Service Systems Enabled by Digital Product Innovation","",,,"January","1236--1245",2016,"","","","Proc. 49th Hawaii Int. Conf. System Sciences (HICSS)","","","","","","","","","","","","","","innovation management, manufacturing data processing, organisational aspects, industrial service systems, digital product innovation, pervasive digitization, industrial equipment, manufacturing industry, digital technology, industrial service business, original equipment manufacturers, OEM, physical materiality, digital materiality, service innovation, industrial equipment operators, service organizations, technological capabilities, service-dominant logic, affordance theory, Taxonomy, Technological innovation, Organizations, Context, Manufacturing industries, Elevators, Digital Product Innovation, Service Systems, Service Innovation, Generativity, Taxonomy, Affordances","","","10.1109/HICSS.2016.157"
6,"","Fujita2016","Fujita, S.; Kase, Y.","Service Market Simulation Based on Service Dominant Logic","",,,"September","31--36",2016,"","","","Proc. IEEE Int. Conf. Agents (ICA)","","","","","","","","","","","","","","marketing, multi-agent systems, service market simulation, service dominant logic, S-D logic, service economy, multiple-agent simulation framework, value estimation, Economics, Business, Mathematical model, Hair, Context, Conferences, Computers, service-dominant logic, agent simulation, market modeling","","","10.1109/ICA.2016.018"
6,"","Ekman2016","Ekman, P.; Raggio, R. D.; Thompson, S.","Developing smart commercial real estate: Technology-based self-service (TBSS) in commercial real estate facilities","",,,"September","1--6",2016,"","","","Proc. IEEE Int. Smart Cities Conf. (ISC2)","","","","","","","","","","","","","","building management systems, energy consumption, green computing, marketing data processing, real estate data processing, smart cities, smart commercial real estate development, technology-based self-service, TBSS, commercial real estate facilities, real estate companies, smart city, CRE, Swedish commercial real estate firm, energy consumption reduction, theoretical service-dominant logic lexicon, theoretical S-D logic lexicon, information technology management, business-to-business networking skills, Smart cities, Interviews, Energy consumption, Information technology, Organizations, technology-based self-service, real estate industry, service-dominant logic, explorative case study, smart city competence","","","10.1109/ISC2.2016.7580744"
6,"","Chen2016","Chen, H.; Schütz, R.; Kazman, R.; Matthes, F.","Amazon in the Air: Innovating with Big Data at Lufthansa","",,,"January","5096--5105",2016,"","","","Proc. 49th Hawaii Int. Conf. System Sciences (HICSS)","","","","","","","","","","","","","","Big Data, innovation management, travel industry, complex business environment, IT innovation, service-dominant logic, Amazon-in-the-Air service, airline ticket selling, business model, technical complexities, Europe, Lufthansa airline, Big Data, Big data, Business, Technological innovation, Atmospheric modeling, Europe, Data models, Complexity theory, big data innovation, innovative business model, Lufthansa Airline, critical success factors, service dominant logic","","","10.1109/HICSS.2016.631"
6,"","Ateetanan2016","Ateetanan, P.; Shirahada, K.","A seamless value co-creation service roadmap of Assistive Technologies for the elderly","",,,"September","2751--2761",2016,"","","","Proc. Portland Int. Conf. Management of Engineering and Technology (PICMET)","","","","","","","","","","","","","","assisted living, embedded systems, geriatrics, innovation management, strategic planning, seamless value co-creation service roadmap, assistive technologies, elderly care services, integrated technological service planning tool, macrolevel planning, service-dominant logic encapsulation, S-D logic encapsulation, open innovation, integrated service roadmap, value co-creation concept, value co-creation platform, roadmap architecture, research and development firm, R-and-D firm, Technological innovation, Technology management, Planning","","","10.1109/PICMET.2016.7806708"
6,"","Yu2015","Yu, Hongyan; Veeck, A.; You, Mingxuan","Customer engagement behavior: Scale development and validation","",,,"June","1--6",2015,"","","","Proc. 12th Int. Conf. Service Systems and Service Management (ICSSSM)","","","","","","","","","","","","","","consumer behaviour, customer relationship management, formal logic, customer engagement behavior, scale development and validation, service-dominant logic, value co-creation theory, scale fowling, customer management, Companies, Reliability, Loading, Interviews, Load modeling, Testing, Customer Engagement Behaviors Service-dominant Logic, Value Co-creation","","","10.1109/ICSSSM.2015.7170250"
6,"","Wu2015","Wu, Jun; Li, Honglin; Che, Peirong","Service co-production and the value co-creation: The case for a private cloud service deployment","",,,"June","1--5",2015,"","","","Proc. 12th Int. Conf. Service Systems and Service Management (ICSSSM)","","","","","","","","","","","","","","cloud computing, data privacy, service co-production, value co-creation, private cloud service deployment model, legacy IT systems, information technology systems, cloud computing environment, IT system production, IT system delivery, state owned telecom operator, China, case study approach, service logic perspective, Cloud computing, Business, Maintenance engineering, Telecommunications, Hardware, Economics, Interviews, Private cloud, service-dominant logic, case study","","","10.1109/ICSSSM.2015.7170258"
6,"","Vargo2015","Vargo, S. L.; Clavier, P.","Conceptual Framework for a Service-Ecosystems Approach to Project Management","",,,"January","1350--1359",2015,"","","","Proc. 48th Hawaii Int. Conf. System Sciences","","","","","","","","","","","","","","project management, service-ecosystems approach, project management, service-dominant logic, S-D logic, portfolio management, industry-agnostic discipline, Project management, Ecosystems, Portfolios, Organizations, Complexity theory, Production, Context, Project Management, service-dominant (S-D) logic, service ecosystems","","","10.1109/HICSS.2015.166"
6,"","Manaka2015","Manaka, Y.; Hasegawa, K.; Koizumi, Y.; Hasegawa, T.","On live migration and routing integration for delay-sensitive cloud services in wireless mesh networks","",,,"June","454--459",2015,"","","","Proc. IEEE Int. Conf. Communications (ICC)","","","","","","","","","","","","","","computer centres, integer programming, radio access networks, telecommunication network routing, virtual machines, wireless mesh networks, wireless mesh networks, routing integration, delay-sensitive cloud services, virtual machine live migration, data centers, backbone networks, end-to-end delay, congestion delay, wireless access networks, mixed integer nonliner program, wireless links, cloud operators, Delays, Routing, Virtual machining, Wireless mesh networks, Centralized control, Logic gates, Wireless communication","","","10.1109/ICC.2015.7248363"
6,"","London2015","London, N.; Pogue, G.; Spinuzzi, C.","Understanding the value proposition as a co-created claim","",,,"July","1--8",2015,"","","","Proc. IEEE Int. Professional Communication Conf. (IPCC)","","","","","","","","","","","","","","innovation management, technology management, value engineering, cocreated claim, technology commercialization, innovation characteristics, goods-dominant logic, service-dominant logic, entrepreneurship communication, value proposition transitions, Business, Technological innovation, Noise, Springs, Training, Commercialization, entrepreneurship, value proposition, goods-dominant logic, service-dominant logic, technology commercialization","","","10.1109/IPCC.2015.7235824"
